words,score
accession,0.011938405247821686
accessory,0.0044496993436551405
ad,0.0059729549695528615
adjustment,0.002993432484388118
africa,0.006217243426478658
aggregate,0.0033579038244274727
agriculture,0.006009174194438533
aid,0.004891882020518622
air,0.002820851431470234
allows,0.004665695900200706
amendment,0.0034968713866379533
animal,0.0059303575468100415
annum,0.005730244577605446
appoint,0.007940787835494624
appreciation,0.005554476964507589
art,0.003562878614324946
article,0.005064628563382948
assume,0.008877453227223605
assumption,0.003215802975613173
ati,0.011938405247821686
attracts,0.010235608775666375
audit,0.0038761427860414467
auto,0.0050873333860829185
automobile,0.004593384953593069
aviv,0.011938405247821686
banking,0.003635536606638291
bankruptcy,0.003873682767796786
basket,0.008754950572511473
beer,0.007199277865720021
behalf,0.003918442679784166
beta,0.007567285488071811
book,0.0035193114518096364
borrowing,0.0033541284778365603
branch,0.0037177925396306524
bring,0.0063173198625155625
budget,0.0036795700164549065
bus,0.006652440331214008
buying,0.005274084559794325
calculation,0.005403893889006368
calendar,0.00410569697438022
campaign,0.004019079367768225
car,0.004875416341483865
card,0.0032017946637614833
care,0.0028266059268677065
carry,0.005680161230565549
cereal,0.010907576186939641
certainty,0.0057176032158574195
chain,0.0031281692405357954
chance,0.007382006997086247
chemical,0.0035254763366262434
civic,0.01050630113940851
client,0.002786674909074659
climate,0.006038639475625933
club,0.005015585168033236
cocoa,0.012095241271379302
coffee,0.007863938602493372
commencement,0.006283389936344041
commerce,0.002796581632902471
commodity,0.004142009140580028
complex,0.004871321451227562
compliment,0.010235608775666375
comply,0.002779629219086331
compressor,0.007649973043045427
concentrate,0.006046075553903722
concept,0.004024382224251169
concern,0.0027365024994185773
confidence,0.005902465200020745
confiscation,0.011793197770409585
conjunction,0.0029180318899405568
consent,0.0037314628574612045
considers,0.0035924710428648127
constitution,0.009222094150936144
consumption,0.004822838872027848
contact,0.003490795709600937
continent,0.007754036661783218
continuity,0.00728150269681039
contractor,0.002991864333624549
cooperative,0.007845188179267765
corp,0.003033049771610566
county,0.003438914357770565
course,0.002778223116209703
court,0.002874736624519371
cover,0.0033922133361829433
cp,0.010820477213349548
cpi,0.009785779633393518
crisis,0.0069955199765375725
crude,0.0065534594760903115
currency,0.0029981444809062323
custom,0.0032710513219512904
cut,0.005909401151597733
daewoo,0.01153155578892193
danger,0.007960480506526077
deal,0.005861357308897412
dealer,0.003438914357770565
dealership,0.007583546197780109
decade,0.004937889357237656
decline,0.00318096820436606
defense,0.0042314161621394295
deficit,0.0049677394011704255
degree,0.002817980508942711
demonstration,0.005299367546385332
dependence,0.0042314161621394295
depot,0.006524714643590844
depreciation,0.0052293813826580805
devaluation,0.008259228120638788
diamond,0.007146317769509228
diesel,0.006767425035538258
difference,0.0032983541920607773
differential,0.007457089143593617
discrepancy,0.01029985729466565
disposal,0.003613885510381835
dividend,0.0028497944137675646
dominant,0.011194831660926902
doubt,0.006959566595797821
dozen,0.008213658525502801
drought,0.010820477213349548
duplication,0.007754036661783218
durables,0.01153155578892193
duty,0.003806027070641399
earth,0.007352761614252088
east,0.0060312315111327435
efficient,0.0053301441624903426
election,0.0037707215339394533
electricity,0.005224476738609084
eminent,0.011300771205393906
encourage,0.00569879279035732
engine,0.004300490438620623
engineer,0.0033001879818759516
enterprise,0.0030685881687649214
entitlement,0.008125580583981029
entrance,0.007367329742881303
